filename,shape,operation,a,b,c,d,e,f,g,h,i,j,k,l,hue,sat,val,rot_x,rot_y,rot_z,pos_x,pos_y,pos_z
shape_0.png,13,0,1.879087,0,0,0,0,0,0,0,0,0,0,0,0.3840049,1,1,60.98767,246.8798,92.71236,-0.1724471,-0.1724471,-0.1724471
shape_1.png,11,0,0,1.647651,0,0,-0.01372397,0,2.449091,0,0,0,0,0,0.6507074,1,1,316.4629,111.3074,333.2225,0.2763643,0.2763643,0.2763643
shape_2.png,26,0,8.989151,0,0,0,0,0,0,0,0,0,0,0,0.4333566,1,1,17.27643,312.7841,72.60458,0.1627272,0.1627272,0.1627272
shape_3.png,22,0,0.6254302,0.9737997,4.806495,0,0,0,0,0,0,0,0,0,0.2189932,1,1,38.8155,55.72332,139.7931,0.09559882,0.09559882,0.09559882
shape_4.png,14,0,2.067172,0.3456322,0,0,0,0,0,0,0,0,0,0,0.4370662,1,1,76.28715,353.6286,159.3465,0.2202955,0.2202955,0.2202955
shape_5.png,10,0,4.151719,2.809208,0,0,0,0,0,0,0,0,0,0,0.1412444,1,1,323.3549,8.343712,102.8901,0.04262292,0.04262292,0.04262292
shape_6.png,25,0,4.397388,0,0,0,0,0,0,0,0,0,0,0,0.6290084,1,1,315.3024,242.4288,41.71639,0.5796247,0.5796247,0.5796247
shape_7.png,10,0,4.330549,0.1914381,0,0,0,0,0,0,0,0,0,0,0.4328777,1,1,47.97812,59.00705,95.83579,0.3077688,0.3077688,0.3077688
shape_8.png,26,0,10.00203,0,0,0,0,0,0,0,0,0,0,0,0.08475006,1,1,66.59626,92.52837,7.056597,-0.8348072,-0.8348072,-0.8348072
shape_9.png,15,0,1.480868,1.520791,2.25749,0,0,0,0,0,0,0,0,0,0.2837546,1,1,56.32096,40.77618,220.3267,0.2162191,0.2162191,0.2162191
shape_10.png,0,0,3.482411,2.285904,0,0,0,0,0,0,0,0,0,0,0.6170858,1,1,50.68581,47.87749,263.8776,-0.997323,-0.997323,-0.997323
shape_11.png,2,0,2.194394,0,0,0,0,0,0,0,0,0,0,0,0.9843408,1,1,32.7429,2.265008,242.104,-0.6698687,-0.6698687,-0.6698687
shape_12.png,26,0,9.535425,0,0,0,0,0,0,0,0,0,0,0,0.8851936,1,1,56.95657,351.113,83.72166,0.1742941,0.1742941,0.1742941
shape_13.png,26,0,11.89479,0,0,0,0,0,0,0,0,0,0,0,0.2198588,1,1,88.72974,216.9784,23.02118,-0.7433534,-0.7433534,-0.7433534
shape_14.png,25,0,3.515793,0,0,0,0,0,0,0,0,0,0,0,0.730786,1,1,61.94134,355.7417,84.49354,-0.9097581,-0.9097581,-0.9097581
shape_15.png,2,0,2.116158,0,0,0,0,0,0,0,0,0,0,0,0.2845477,1,1,33.37637,259.446,100.8826,-0.1741039,-0.1741039,-0.1741039
shape_16.png,6,0,0.1328071,0.1071198,2.365545,0,0,0,0,0,0,0,0,0,0.7948225,1,1,68.0975,304.4424,259.1002,-0.2088343,-0.2088343,-0.2088343
shape_17.png,1,0,1.56699,2.700007,4.294781,0,0,0,0,0,0,0,0,0,0.3987473,1,1,19.85709,147.1756,277.6038,0.3922884,0.3922884,0.3922884
shape_18.png,15,0,2.04038,1.366505,2.475919,0,0,0,0,0,0,0,0,0,0.8306947,1,1,67.73501,120.9121,63.4492,-0.326213,-0.326213,-0.326213
shape_19.png,26,0,10.08699,0,0,0,0,0,0,0,0,0,0,0,0.8923016,1,1,53.64762,130.9152,224.3124,-0.2361716,-0.2361716,-0.2361716
shape_20.png,5,0,1.651458,1.466427,0.1967642,0,0,0,0,0,0,0,0,0,0.7767262,1,1,354.9239,206.3726,47.38615,0.1622726,0.1622726,0.1622726
shape_21.png,14,0,1.106457,1.862959,0,0,0,0,0,0,0,0,0,0,0.6575086,1,1,291.7385,127.0204,327.0454,-0.9918423,-0.9918423,-0.9918423
shape_22.png,25,0,4.539646,0,0,0,0,0,0,0,0,0,0,0,0.9408052,1,1,331.9975,130.9882,205.0554,-0.6985321,-0.6985321,-0.6985321
shape_23.png,6,0,0.1273205,0.1474429,2.542204,0,0,0,0,0,0,0,0,0,0.5011654,1,1,18.51959,268.5681,290.2351,0.5139413,0.5139413,0.5139413
shape_24.png,5,0,1.04989,1.45343,0.8881784,0,0,0,0,0,0,0,0,0,0.9895074,1,1,318.6671,103.5375,164.7538,-0.6210554,-0.6210554,-0.6210554
shape_25.png,1,0,1.95061,3.130251,4.176929,0,0,0,0,0,0,0,0,0,0.6425101,1,1,311.2723,232.7383,226.3219,-0.06335294,-0.06335294,-0.06335294
shape_26.png,11,0,0,2.022151,0,0,-0.8972005,0,2.043601,0,0,0,0,0,0.3080684,1,1,356.9795,229.9664,136.7446,0.1439596,0.1439596,0.1439596
shape_27.png,22,0,2.094349,1.905451,4.730515,0,0,0,0,0,0,0,0,0,0.5876375,1,1,359.3665,275.9793,247.7169,-0.05926788,-0.05926788,-0.05926788
shape_28.png,9,0,4.102415,1.250926,0,0,0,0,0,0,0,0,0,0,0.2382176,1,1,78.64246,108.2488,198.1585,-0.1485597,-0.1485597,-0.1485597
shape_29.png,14,0,2.488739,0.4328557,0,0,0,0,0,0,0,0,0,0,0.3284245,1,1,13.13562,122.5476,179.1355,-0.2918402,-0.2918402,-0.2918402
shape_30.png,25,0,4.184669,0,0,0,0,0,0,0,0,0,0,0,0.4000657,1,1,318.7166,72.99194,241.2625,0.2444454,0.2444454,0.2444454
shape_31.png,5,0,1.907935,2.25163,0.7598915,0,0,0,0,0,0,0,0,0,0.5507675,1,1,51.92826,127.7094,36.8177,-0.3848742,-0.3848742,-0.3848742
shape_32.png,25,0,3.099544,0,0,0,0,0,0,0,0,0,0,0,0.5740778,1,1,52.31189,270.7105,180.9592,0.9767094,0.9767094,0.9767094
shape_33.png,5,0,1.101983,1.425046,0.7257142,0,0,0,0,0,0,0,0,0,0.06407297,1,1,320.1898,133.368,206.2484,-0.6159358,-0.6159358,-0.6159358
shape_34.png,10,0,3.859901,1.8622,0,0,0,0,0,0,0,0,0,0,0.8602717,1,1,340.8507,179.9708,284.2009,0.2475003,0.2475003,0.2475003
